Date;Year;Month;Day;Hour;Central;Unidad;Componente;Generacion_MWh;Tecnologia;Clasificacion;Codigo Central;Subsistema
01/02/2014;2014;2;1;23;Sauce Andes;;;0,99;Mini Hidráulica de Pasada;ERNC;Sauce Andes;SIC
01/02/2014;2014;2;1;24;Sauce Andes;;;0,98;Mini Hidráulica de Pasada;ERNC;Sauce Andes;SIC
01/02/2014;2014;2;1;1;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;2;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;3;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;4;Sauzalito;;;12;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;5;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;6;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;7;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;8;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;9;Sauzalito;;;12;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;10;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;11;Sauzalito;;;10;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;12;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;13;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;14;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;15;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;16;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;17;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;18;Sauzalito;;;10;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;19;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;20;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;21;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;22;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;23;Sauzalito;;;12;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;24;Sauzalito;;;11;Mini Hidráulica de Pasada;ERNC;Sauzalito;SIC
01/02/2014;2014;2;1;1;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;2;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;3;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;4;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;5;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;6;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;7;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;8;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;9;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;10;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;11;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;12;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;13;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;14;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;15;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;16;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;17;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;18;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;19;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;20;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;21;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;22;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;23;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;24;Aconcagua Ublanco;;;0;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;1;Sauzal 50Hz;;;70;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;2;Sauzal 50Hz;;;69;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;3;Sauzal 50Hz;;;71;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;4;Sauzal 50Hz;;;70;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;5;Sauzal 50Hz;;;69;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;6;Sauzal 50Hz;;;68;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;7;Sauzal 50Hz;;;71;Hidráulica de Pasada;Convencional;SAUZAL;SIC
